,0
0,valley
1,girl
2,’
3,get
4,nothing
5,hikaru
6,come
7,fast
8,talk
9,valley
10,girl
11,’
12,go
13,nothing
14,hikaru
15,come
16,fast
17,talk
18,know
19,original
20,valley
21,girl
22,could
23,use
24,term
25,“
26,like
27,”
28,10
29,time
30,9
31,word
32,sentence
33,wish
34,know
35,remove
36,dementia
37,cause
38,wife
39,'m
40,care
41,giver
42,favourite
43,person
44,chess
45,world
46,favourite
47,laszlo
48,polgar
49,think
50,master
51,creative
52,puzzle
53,master
54,social
55,commentary
56,insofar
57,raise
58,daughter
59,without
60,sexist
61,view
62,girl
63,woman
64,play
65,chess
66,different
67,boys
68,men
69,favourite
70,person
71,chess
72,world
73,favourite
74,laszlo
75,polgar
76,think
77,master
78,creative
79,puzzle
80,master
81,social
82,commentary
83,insofar
84,raise
85,daughter
86,without
87,sexist
88,view
89,girl
90,woman
91,play
92,chess
93,different
94,boys
95,men
96,think
97,laszlo
98,polgar
99,chess
100,player
101,fact
102,accord
103,docu
104,novice
105,best
106,know
107,raise
108,child
109,best
110,woman
111,chess
112,player
113,world
114,think
115,laszlo
116,polgar
117,chess
118,player
119,fact
120,accord
121,docu
122,novice
123,best
124,know
125,raise
126,child
127,best
128,woman
129,chess
130,player
131,world
132,think
133,laszlo
134,polgar
135,chess
136,player
137,fact
138,accord
139,docu
140,novice
141,best
142,know
143,raise
144,child
145,best
146,woman
147,chess
148,player
149,world
150,'ve
151,watch
152,movie
153,series
154,``
155,queens
156,gambit
157,''
158,existential
159,journey
160,young
161,girl
162,love
163,chess
164,playing
165,learning
166,good
167,chess
168,movie
169,authentic
170,title
171,alone
172,chess
173,course
174,also
175,life
176,education
177,even
178,music
179,see
180,find
181,scene
182,janitor
183,begin
184,look
185,awe
186,quite
187,moving.especially
188,ask
189,'s
190,good
191,respond
192,exceptional
193,girl
194,is.the
195,poor
196,thing
197,tragedy
198,wo
199,n't
200,give
201,anything
202,away
203,root
204,....
205,great
206,show
207,oliver
208,mother
209,n't
210,love
211,unfortunately
212,daughter
213,really
214,really
215,care
216,win
217,'s
218,go
219,love
220,get
221,level
222,beat
223,non-negligible
224,percentage
225,peer
226,unfortunately
227,daughter
228,really
229,really
230,care
231,win
232,'s
233,go
234,love
235,get
236,level
237,beat
238,non-negligible
239,percentage
240,peer
241,wish
242,know
243,remove
244,dementia
245,cause
246,wife
247,'m
248,care
249,giver
250,haha
251,spike
252,'s
253,lockdown
254,start
255,scotland
256,furlough
257,girlfriend
258,work
259,dissertation
260,load
261,time
262,hand
263,people
264,watch
265,anything
266,covid
267,actually
268,see
269,people
270,play
271,part
272,paul
273,morphy
274,capablanca
275,bobby
276,fischer
277,one
278,``
279,let
280,'s
281,make
282,drama
283,instead
284,main
285,character
286,trodden
287,girl
288,parent
289,good
290,run
291,ability
292,math
293,good
294,chess
295,''
296,sister
297,gon
298,na
299,make
300,platter
301,dirt
302,cake
303,...
304,sad
305,thing
306,n't
307,think
308,'s
309,go
310,happen
311,'m
312,exactly
313,position
314,hard
315,figure
316,agree
317,play
318,lot
319,10
320,minute
321,game
322,lose
323,time
324,lot
325,wish
326,straight
327,15
328,minute
329,time
330,limit
331,also
332,distract
333,phone
334,call
335,wife
336,talk
337,etc
338,n't
339,help
340,look
341,good
342,sister
343,really
344,great
345,job
346,mother
347,'s
348,mate
349,finish
350,watch
351,buy
352,read
353,book
354,first
355,awesome
356,movie
357,good
358,job
359,follow
360,book
361,kasparov
362,advise
363,get
364,right
365,atmosphere
366,tournament
367,anya
368,taylor-joy
369,play
370,beth
371,harmon
