,0
0,take
1,mine
2,local
3,bar
4,use
5,pick
6,chick
7,know
8,excited
9,girl
10,get
11,find
12,play
13,chess
14,...
15,fine
16,start
17,look
18,game
19,one
20,played
21,person
22,also
23,1000s
24,make
25,75
26,best
27,move
28,possible
29,accidently
30,play
31,daughter
32,new
33,account
34,instantly
35,get
36,bump
37,1400
38,fine
39,level
40,game
41,even
42,one
43,game
44,super
45,easy
46,play
47,half
48,drunk
49,like
50,two
51,year
52,way
53,700s
54,n't
55,drink
56,year
57,tournament
58,beat
59,1600
60,rat
61,players.i
62,know
63,bad
64,feel
65,like
66,least
67,1200
68,rat
69,bad
70,n't
71,know
72,1000
73,rat
74,guys
75,play
76,accurately
77,mean
78,lose
79,game
80,make
81,80
82,best
83,move
84,seem
85,weird
86,``
87,...
88,wgm
89,jennifer
90,shahade
91,...
92,…
93,...
94,think
95,blitz
96,good
97,...
98,...
99,n't
100,look
101,opening
102,game
103,miss
104,point
105,...
106,start
107,play
108,year
109,ago
110,improvement
111,fast
112,slow
113,depend
114,much
115,play
116,study
117,play
118,every
119,day
120,try
121,new
122,thing
123,recently
124,rating
125,go
126,n't
127,know
128,exactly
129,'m
130,pretty
131,sure
132,'s
133,blitz
134,tournament
135,join
136,probably
137,never
138,gm
139,hop
140,become
141,woman
142,candidate
143,master
144,fide
145,``
146,award-winning
147,''
148,n't
149,count
150,'s
151,sister
152,publishing
153,company
154,create
155,award
156,win
157,mother
158,want
159,know
160,n't
161,bed
162,yet
163,hernaturalconfidence
164,write
165,n't
166,experience
167,yet
168,check
169,...
170,girl
171,uar
172,goddes
173,chess
174,would
175,recommend
176,book
177,think
178,susan
179,polgar
180,'s
181,dad
182,supposedly
183,'s
184,problem
185,use
186,teach
187,susan
188,polgar
189,sister
190,many
191,queen
192,sacrifice
193,achieve
194,mate
195,get
196,tire
197,book
198,...
199,still
200,n't
201,run
202,queen
203,sacrifice
204,tactic
205,would
206,recommend
207,book
208,think
209,susan
210,polgar
211,'s
212,dad
213,supposedly
214,'s
215,problem
216,use
217,teach
218,susan
219,polgar
220,sister
221,many
222,queen
223,sacrifice
224,achieve
225,mate
226,get
227,tire
228,book
229,...
230,still
231,n't
232,run
233,queen
234,sacrifice
235,tactic
236,maybe
237,5
238,6
239,woman
240,would
241,get
242,title
243,every
244,50
245,year
246,maybe
247,5
248,6
249,woman
250,would
251,get
252,title
253,every
254,50
255,year
256,probably
257,easy
258,way
259,know
260,group
261,compete
262,screen
263,name
264,even
265,real
266,name
267,n't
268,always
269,clear
270,'re
271,male
272,female
273,two
274,pool
275,different
276,since
277,men
278,'s
279,competitive
280,pool
281,much
282,large
283,wish
284,chess.com
285,add
286,mobile
287,app
288,rather
289,go
290,bunch
291,step
292,...
293,tournament
294,open
295,sex
296,tournament
297,segregate
298,woman
299,high
300,level
301,player
302,pretty
303,much
304,men
305,likely
306,due
307,much
308,high
309,number
310,men
311,play
312,chess
313,sure
314,woman
315,'s
316,event
317,relatively
318,rare
319,w
320,title
321,requirement
322,go
323,fide
324,rating
325,segregate
326,gender
327,darwinwasright
328,write
329,woman
330,dont
331,want
332,equality
333,want
334,special
335,privelages
336,...........
337,privileges
338,sometimes
339,two
340,league
341,chess
342,one
343,men
344,one
345,woman
346,one
347,dozen
348,two
349,high
350,rat
351,would
352,woman
353,'s
354,world
355,champion
356,maia
357,chiburdanidze
358,simul
359,grandmaster
360,john
361,federowicz
362,blitz
363,game
364,maia
365,crush
366,wrangle
367,draw
368,john
369,mother
370,want
371,know
372,n't
373,bed
374,like
375,suppose
376,hour
377,ago
378,yes
379,make
380,living
381,teaching
